"buchtitel","auflage","publikationsjahr"
"20 frische Bilder, 40 neue Geschichten","1. Auflage",2023
"20 Kurzgeschichten",NULL,2008
"2112",NULL,2014
"21 Gründe, warum eine Frau mit einem Mann schläft","1. Auflage",2015
"2275 Tage mit Janosch","1. Aufl.",2011
"22 Geschichten von Kindern und Jugendlichen aus Haltern am See","1. Auflage",2019
"22 (und eine halbe) fantastische Kurzgeschichten","1. Auflage",2019
"23 + 23= I",NULL,2014
"23 illustrierte Geschichten aus Japan",NULL,2019
"24+2 WeihnachtsLichtGeschichten",NULL,2021
"24 Adventskalender-Geschichten",NULL,2014
"24 Ein-Schaf-Geschichten für Erwachsene",NULL,2018
"24 Geschichten aus dem hohen Norden","1. Auflage",2022
"24 Geschichten im Advent (Anthologie)","1. Auflage",2021
"24 Geschichten und Gedichte rund um Weihnachten",NULL,2011
"24 Geschichten von fabelhaften Frauen","1. Auflage",2020
"24 Geschichten zum Advent",NULL,2008
"24 Geschichten zur Weihnacht",NULL,2010
"24 Grad und windstill","1. Aufl.",2012
"24 Kurzgeschichten zum Advent - winterliche Schlüsselmomente","1. Auflage",2022
"24 Kurzgeschichten zum Advent - Zeilen im Schnee","1. Auflage",2023
"24 Küsse","1. Auflage",2022
"24 lustige Geschichten für die Vorweihnachtszeit","1. Auflage",2023
"24-mal den Zauber spüren","1. Auflage",2018
"24 Mini-Gruselgeschichten für den Advent",NULL,2020
"24 Toedliche Geschichten","1. Auflage",2023
"24 unheilige Geschichten für die Weihnachtszeit",NULL,2023
"24 Weihnachtsgeschichten","1. Auflage",2023
"24 zauberhafte Geschichten","1. Auflage",2017
"25 Jahre - der Fall des Eisernen Vorhangs","1. Aufl.",2014
"25 Jahre Hainburger Autorenrunde","1. Auflage",2015
"25 veselých historek z Abertam","Vydání druhé",2022
"26 Hexenjahre - ein Katzenleben",NULL,2016
"27 böse Kurzgeschichten","1. Auflage",2018
"29 Geschichten des Grauens","1. Auflage",2020
"2 Gute-Nacht-Geschichten Der kleine Stern - Max, der Besen","1. Auflage",2021
"30 Jahre Verlag",NULL,2008
"30 traumhafte Kurzgeschichten für Kinder","1. Auflage",2022
"31 Kurzgeschichten für Amy - (LUXUSAUSGABE)","1. Auflage",2021
"31 Kurzgeschichten für Conner - (LUXUSAUSGABE)","1. Auflage",2021
"31 Kurzgeschichten für Johann - Ein Namenbuch mit 31 Kurzgeschichten und Märchen","1. Auflage",2021
"31 Kurzgeschichten für Milan - (LUXUSAUSGABE)","1. Auflage",2021
"31 Kurzgeschichten für Tyler - (LUXUSAUSGABE)","1. Auflage",2021
"333 ostpreußische Späßchen",NULL,2011
"33 Kurzgeschichten für Erwachsene (Taschenbuch)","1. Auflage",2021
"365 Tage Liebe","1. Auflage",2017
"36 Begegnungen",NULL,2008
"36 Stufen zum Glück",NULL,2014
"37 aus 22",NULL,2023
"3 Jahre in Namibia",NULL,2021
"3 Kurzgeschichten über die Liebe",NULL,2022
"3 Leben","1. Aufl.",2015
"3 seltsame Geschichten","1. Aufl.",2012
"42 garstige Gerwalt-Geschichten",NULL,2013
"42 Grad","Erste Auflage",2018
"42 Sommergedichte",NULL,2011
"4 Shades of Black and White: schwarze Liebe, schwarzer Sex, weiße Passion - tausend Wege raus aus Afrika: 3 weiße Frauen, 1 schwarzer Mann","1. Auflage",2019
"4 STORIES","1. Auflage",2016
"4 Worte - 1 story","1. Auflage",2022
"50 Geschichten",NULL,2016
"50 - mit einem Lächeln ins nächste Jahrzehnt",NULL,2023
"50 schräge Kurzgeschichten zum Selberschreiben","1. Auflage",2021
"50 Shades of CSI Boston und andere Geschichten",NULL,2020
"50 x Best of Erotic","Limitierte Jubiläumsausg., 1. Aufl.",2012
"55 Erzählungen","1. Auflage",2021
"55 Gründe, Stuttgart trotzdem zu lieben","1. Auflage",2020
"5 Jahre - 5 Geschichten","Dt.-sprachige Orig.-Ausg., 1. Aufl.",2012
"5 mystische Geschichten","1. Aufl.",2015
"5 Stühle","1. Auflage",2023
"60er-Jahre-Geschichten",NULL,2022
"60 Jahre ohne Drehbuch",NULL,2022
"60 Kurzgeschichten","1. Auflage",2021
"60-Minuten-Geschichten - Schreiben gegen die Zeit",NULL,2013
"69 Short Stories",NULL,2013
"6 pieces - meat and greet","1. Aufl.",2013
"70 Glücksfenster",NULL,2011
"74 kurz- und langweilige Geschichten","1. Auflage",2020
"75 Geschichten aus dem Zettelkasten",NULL,2012
"77 Herzfenster",NULL,2009
"77 Traumfenster",NULL,2010
"77 Weihnachtsfenster","1. Auflage",2020
"7 Ahlemer Geschichten gegen das Vergessen","1. Auflage",2017
"7 Erotische Kurzgeschichten für Männer und Frauen",NULL,2022
"7 Euro 77","1. Aufl.",2009
"7 geile GayLe Geschichten","1. Auflage",2022
"7 Krimis: 7 Juli-Mörder 2020: Krimi Sammelband 5017","1. Auflage",2020
"7 kurze Geschichten","1. Auflage",2017
"7 sonderbare Geschichten","1. Aufl.",2011
"80 geschenkte Jahre","1. Auflage",2020
"8 Finale und ein bisschen drumherum ...","1. Auflage",2018
"8 verhängnisvolle kurz(e) Geschichten","1. Aufl.",2015
"99 buddhistische Kurzgeschichten","1. Auflage",2023
"Aaka, ein Pharao zum Verlieben","1. Auflage",2022
"Aarauer Kurzgeschichten","Originalausgabe",2022
"Aaregeflüster","1. Auflage",2017
"Aasfresser","1. Auflage",2019
"Ab 5.45 Uhr wird zurückgesprochen!","1. Aufl.",2010
"Abaufwärts","Erste Auflage",2015
"Abdias",NULL,2009
"Abend der O und andere SM-Geschichten",NULL,2019
"Abendfrieden",NULL,2008
"Abend in der Spinnerei",NULL,2009
"Abendland und Morgenland oder die ganze Welt",NULL,2020
"Abendrot",NULL,2018
"Abenteuer auf dem Bauernhof und in der guten Stube","1. Aufl.",2009
"Abenteuer aus dem Englischen Garten","Erste Auflage dieser Ausgabe",2023
"Abenteuer Bad Reichenhall","1. Auflage",2016
"Abenteuer eines beruflichen Globetrotters",NULL,2013
"Abenteuer eines Studentenvaters","1. Aufl.",2011
"Abenteuer im Elfenreich","1. Aufl.",2011
"Abenteuer inklusive","1. Auflage",2011
"Abenteuerliches Europa","1. Auflage",2023
"Abenteuerliches von der Küste",NULL,2009
"Abenteuerliche Träume",NULL,2013
"Abenteuer Medizin","Großdruck",2020
"Abenteuer mit Orion II","1. Auflage",2018
"Abenteuer mit Waldi und Schnurz",NULL,2021
"Abenteuertage",NULL,2020
"Abenteuer Tierschutz","1. Aufl.",2009
"Aber bitte mit Marmelade!",NULL,2020
"Aber bitte mit Reet!","Originalausgabe",2022
"Aber bitte mit Sahne!","Orig.-Ausg.",2014
"Aber das wär' doch nicht nötig gewesen!","Orig.-Ausg., 1. Aufl.",2008
"Aber der Schlüpfer bleibt an...",NULL,2011
"... aber der Wagen, der rollt",NULL,2009
"Aber die Rosen",NULL,2010
"Aber dieses Jahr schenken wir uns nichts","1. Auflage",2022
"Äberlausitz - mei Poaradies",NULL,2008
"Aber Makaber",NULL,2021
"Aber möglich, möglich muss es doch sein",NULL,2019
"Aber schön war es doch ...","1. Aufl., neue Ausg.",2015
"Abgedreht & aufgedreht","1. Auflage",2021
"Abgefahren","1. Aufl.",2010
"Abgelaufen",NULL,2012
"Abgeliefert",NULL,2008
"Abgeschminkt","1. Auflage",2019
"Abgestürzte Absinthtorte",NULL,2016
"Abgründe/Ohne Hoffnung","1. Auflage",2018
"Abgründe und andere Gründe",NULL,2022
"Ab in die Urne","Deutsche Erstausgabe",2019
"Ab ins Körbchen","Originalausgabe",2023
"Ablösungen",NULL,2009
"Ab morgen wird abgespeckt",NULL,2008
"Ab nach Kassel",NULL,2016
"Abnehmen mit Attila",NULL,2008
"A Book of Stories","1. Auflage 2023",2023
"Abschaum, Tinitussi, Zombies und andere schlechte Geschichten","1. Auflage",2021
"Abscheulichkeiten",NULL,2023
"Abschied","1. Aufl.",2011
"Abschiedsfarben",NULL,2020
"Abschied und andere Erzählungen",NULL,2015
"Abseits des Lichtes","1. Auflage",2020
"Abseits des Weges dem Sein auf der Spur","1. Aufl.",2008
"Absinth","1. Auflage",2017
"A bsondra Tag",NULL,2013
"Absprunghöhen",NULL,2014
"Abstellkammer - Makabere Kurzgeschichten","1. Auflage",2019
"Abstruse Augenblicke","1. Auflage",2017
"Absturz","Originalausgabe",2017
"Absurdes Glück",NULL,2012
"Abwärts",NULL,2023
"Abwege oder Irrungen",NULL,2019
"Abwrackprämie","1., Auflage",2013
"Abwürfe",NULL,2008
"Abzählherbst",NULL,2010
"Abzweigungen",NULL,2011
"Achat und Schatz","Originalausgabe",2019
"Ach du liebe Weihnachtszeit",NULL,2015
"Ach, du liebe Zeit...",NULL,2014
"Ach Mami","1. Auflage",2017
"Ach, meine Freundin, die Tugend ist gut, aber die Liebe ist besser","1. Aufl.",2010
"… ach Sylt, mein Sylt! – Drei kurze romantische Romane und Erzählungen","1. Auflage",2022
"Acht Betrachtungen",NULL,2013
"Acht Cola, acht Bier","1. Auflage",2021
"Achterbahn - schön war es doch","1. Aufl.",2014
"Achter Mai","1. Aufl.",2012
"Achtern Horizont","1. Auflage",2022
"Acht erotische Geschichten mitten aus dem Leben","Vollständige Taschenbuchausgabe, Originalausgabe",2019
"Acht linke Schuhe",NULL,2012
"Acht Pfoten im Mecklenburgischen","Vorabauflage",2018
"Achtundzwanzig",NULL,2014
"Achtung - fertig - los!","Special limited edition",2019
"Achtung, fertig, losgeschrieben!",NULL,2020
"Achtung, heiß!","1. Auflage",2022
"Achtung Weihnachten",NULL,2010
"Acht Wochen Dunkelheit","1. Auflage",2022
"Achtzehn Füße hat das Glück","Orig.-Ausg., 1. Aufl.",2010
"Ach, wär ich nur zu Hause geblieben","Orig.-Ausg., vollst. Taschenbuchausg.",2010
"Ach was",NULL,2008
"Ach was, Menschen!",NULL,2022
"„Ach, wie gut, dass niemand weiß“",NULL,2015
"Adalbert",NULL,2021
"Adam - 32 Geschichten oder so",NULL,2009
"Adam, du solltest mehr Obst essen!",NULL,2021
"Adam, ich hab nichts anzuziehen","1. Auflage",2020
"Adaptierte Erzählungen",NULL,2015
"AD ASTRA/AD ASTRA 001: Das Meer der Finsternis","1. Auflage",2020
"A Decade of Start-up Wisdom","1. Auflage",2023
"Adern im Stein","1. Auflage",2018
"Aderriss","1. Aufl.",2014
"Adieu",NULL,2014
"Adonisröschen",NULL,2014
"Adorno wohnt hier nicht mehr","Erstausgabe, 1. Auflage",2019
"Adveniat regnum tuum","1. Auflage",2016
"Advent, Advent","1. Auflage",2023
"Advent, Advent ... bis das vierte Lichtlein brennt!","1. Aufl.",2011
"Advent, Advent, der Christbaum brennt","1. Auflage",2017
"Advent durchs Schlüsselloch","1. Auflage",2019
"Advent fängt im September an",NULL,2012
"Adventgeschichten",NULL,2010
"Advent mit Jane Austen","1. Aufl.",2016
"Advent mit Oscar Wilde","1. Aufl.",2016
"Advent mit Selma Lagerlöf",NULL,2021
"Adventsbus-Geschichten","1. Auflage",2018
"Adventsgeschichten","1. Auflage, ungekürzte Ausgabe",2017
"Adventskalender Der Weihnachtswunsch der kleinen Maus - 24 kurze Geschichten für Kinder",NULL,2016
"Adventskätzchen","Orig.-Ausg.",2011
"Adventskatzen","Erste Auflage, Originalausgabe",2016
"Adventslektüre","Erste Auflage",2020
"Adventszauber",NULL,2009
"Advent und Weihnachten",NULL,2009
"Advent- und Weihnachtszeit","1. Aufl.",2011
"Advocatus Diaboli",NULL,2010
"Aegeria","1. Auflage",2018
"Aegypten stories","1. Aufl.",2012
"Aeolian World – Chomolungma – Novembernacht","1. Auflage",2023
"Aergia","1. Aufl.",2014
"Aether Gazette Sammelbände/Aether Gazette Sammelband No. 1","1. Auflage",2021
"Affen im Hörsaal","1. Auflage",2017
"Affenschande",NULL,2012
"Affentheater - der ganz normale Wahnsinn","1. Auflage",2018
"Affenzirkus",NULL,2020
"Afganskij dnevnik i drugie istorii iz žizni russkogo vrača",NULL,2012
"Afghanistan ade",NULL,2021
"Afrika",NULL,2010
"Afrika-Erzählungen von Jugendlichen aus Deutschland und Togo",NULL,2009
"Afrika rief ... und Kurzgeschichten, die das Leben schrieb","1. Auflage",2018
"Aftero und Aftera","1. Auflage",2018
"Again &amp; Again","1. Auflage",2022
"Agile Missions Impossible","Erste Auflage",2023
"Agile Short Stories",NULL,2019
"Agnes und der Engel","1. Auflage",2019
"A Gsälzbrot ond an Moscht","1. Auflage",2019
"Ägyptische Pralinen",NULL,2011
"Ahnungslos sind nur die Dummen","1. Auflage",2011
"Aimery und die Magie des Südens",NULL,2021
"Akazienskizze","1. Aufl.",2009
"Akilah tanzt","1. Auflage",2019
"A kind of blue","1. Auflage",2021
"Akte FF: unglaubliche Geschichten vom Fliegenfischen",NULL,2017
"Akte Mystery","1. Aufl.",2008
"Alain Pfisterer's Gedächtnis und andere Erzählungen","1. Auflage",2017
"Alarmstufe Weiß",NULL,2010
"Alba, Liebste und andere Erzählungen","1. Auflage",2018
"Alba und der Drache",NULL,2023
"Albins letzte Tage oder Gute-Nacht-Geschichten eines Verrückten",NULL,2020
"Albtraum und andere unheimliche Geschichten","1. Auflage",2020
"Albuquerque","1. Aufl.",2014
"Alchemie",NULL,2023
"Aleppo literarisch",NULL,2018
"Alexanderplatz","Taschenbuchausg., 1. Aufl.",2012
"Alice - mein erstes Hundejahr","1. Aufl.",2010
"Alicjas Wein","1. Auflage",2019
"Alien Contagium","1. Auflage",2022
"Alien love",NULL,2022
"Alifas Zeichen",NULL,2008
"All about Love: Sammelband","1. Auflage",2020
"Allá en el Norte",NULL,2013
"All die Jahre",NULL,2022
"All die schönen Winter","Erste Auflage, Originalausgabe",2023
"All dieses Gerede über Sex",NULL,2023
"Alle, Echte, Orth","1. Auflage",2018
"Alle Erzählungen","1. Aufl.",2011
"Alle Geschichten, die ich kenne","1. Aufl.",2015
"Allegro furioso",NULL,2011
"Allein",NULL,2019
"Allein in Australien und andere Geschichten",NULL,2010
"Alle Jahre wieder",NULL,2012
"Alle Jahre wieder - nicht nur zu Weihnachten",NULL,2017
"Alle Lust will Ewigkeit","1. Aufl.",2008
"Alle meine Männer? einige davon . . .","1. Auflage",2020
"Allen dicken Menschen steht Leder","1. Auflage",2016
"Allerhand",NULL,2014
"Allerhand & Allerlei",NULL,2013
"Allerhand ... amüsante Wirtshausgschichtli","1. Auflage",2017
"Allerhand ... Heiteres aus Main-Franken",NULL,2009
"Allerlei Geschichten aus dem Oderbruch","Orig.-Ausg., 1. Aufl.",2009
"Allerlei Kurzgeschichten",NULL,2013
"Allerlei - Kurzweiliges",NULL,2011
"Allerteufel",NULL,2008
"Alles Alltag",NULL,2020
"Alles anders!",NULL,2015
"Alles an seinem Platz","1. Aufl.",2008
"Alles auf Anfang!","1. Auflage",2020
"Alles außer Rand und Band",NULL,2023
"Alles aus Vergesslichkeit",NULL,2010
"Alles Bella!","1. Auflage",2020
"Alles Bestes","1. Aufl.",2013
"Alles dreht sich um Weihnachten",NULL,2017
"Alles easy?!","Printausgabe, 1. Auflage",2016
"Alles ein Geschenk der Zeit",NULL,2010
"Alles fließt",NULL,2009
"Alles frisch","Orig.-Ausg.",2014
"Alles für’n Appel und’n Ei","1. Auflage",2018
"Alles ganz menschlich","1. Aufl.",2010
"Alles gut","1. Aufl.",2011
"Alles Gute",NULL,2008
"Alles Gute zum Alltag!",NULL,2016
"Alles hat auch seine gute Seite ... such sie doch!","1. Aufl.",2014
"Alles hat ein Ende nur Corona nicht","1. Auflage",2021
"Alles hat seine Stunde",NULL,2009
"Alles hat seine Zeit",NULL,2012
"Alles im Fluss ...","1. Aufl.",2015
"Alles im Lot","1. Auflage",2021
"Alles ist Liebe","Auflage 1000",2015
"Alles kann ganz anders sein","1. Auflage",2023
"Alles kein Zufall",NULL,2016
"Alles kurz und klein","1. Auflage",2019
"Alles Liebe zu Weihnachten und andere Geschichten",NULL,2019
"Alles machbar, Herr Nachbar",NULL,2011
"Alles mit den Augen","1. Auflage",2019
"Alles muss ganz anders werden","1. Auflage",2020
"Alles Neiße, Oder?","Orig.-Ausg.",2011
"Alles nicht so einfach","Orig.-Ausg.",2012
"Alles Nonsens - oder was ...?",NULL,2019
"Alles nur nicht Weihnachten","1. Auflage",2019
"Alle spinnen. Ich stricke","1. Auflage",2017
"Alles schläft, einsam wacht","Dt. Erstveröff., 1. Aufl.",2014
"Alles sieht so festlich aus",NULL,2019
"Alles so schön grün hier :vVersammelte Fälle und Geschichten","1. Auflage",2016
"Alles steht still",NULL,2021
"Alle Storys",NULL,2017
"Alles was wir brauchen","1. Aufl.",2012
"Alles wie immer?",NULL,2013
"Alles wild so halb","1. Auflage",2021
"Alles wird wie niemand will","1. Aufl.",2009
"Alles zerstört, alles verbrannt",NULL,2011
"Alles Zufall oder wunderbare Fügung?",NULL,2023
"Alle wollen was erleben",NULL,2019
"Alle Zeitfenster auf Kippe","Dt. Erstveröff., 1. Aufl.",2011
"Allgäuer Geschichten","1. Auflage",2017
"Allgäuer Städte und unterhaltsame Geschichten",NULL,2019
"All in Berlin Geschichten aus dem Leben eines Friseurs","1. Auflage",2022
"All inclusive",NULL,2016
"Alltag","Deutsche Erstausgabe, 1. Auflage",2020
"Alltägliches anderswo. New York - und andere Geschichten",NULL,2013
"Alltagschaos","1. Aufl.",2009
"Alltagsflucht","1. Auflage",2018
"Alltagsfluchten","1. Auflage",2017
"Alltagsgeschichten","1. Aufl.",2009
"Alltagsgeschichten aus Rheinhessen Teil 2","1. Auflage",2021
"Alltags-Geschichten in Versform",NULL,2010
"Alltagsheld",NULL,2021
"Alltagsk(r)ämpfe",NULL,2008
"AlltagsLust","1. Auflage",2016
"Alltagsminiaturen Band 1","1. Auflage",2023
"Alltagsminiaturen Band 3","1. Auflage",2023
"Alltagsriesen","Originalausgabe",2016
"Alltagsträume","1. Auflage",2023
"All Tags Tücken, Miseren & letzte Dinge","1. Auflage",2017
"Alltags-Wahnsinn","1. Aufl.",2013
"Alltagswunder","1. Auflage",2019
"Alltagswundergeschichten","1. Auflage",2021
"All you can Fuck",NULL,2011
"Alois und Auguste",NULL,2009
"Alptraumkater","1. Aufl.",2009
"Als aber die Zeit erfüllt war",NULL,2008
"Als das Glück einen Haken schlug",NULL,2012
"Als das Leben noch in Ordnung war",NULL,2023
"Als das Telefon klingelte …","1. Aufl.",2010
"Als der Kellner schoss und andere Geschichten aus dem täglichen Sterben","1. Aufl.",2008
"Als der kleine Junge ein großes Wunder erlebt",NULL,2012
"Als der Krieg zu Ende ging",NULL,2015
"ALS DER MOND EIN EI LEGTE und andere Geschichten",NULL,2019
"Als der Mond vom Himmel fiel",NULL,2008
"Als der Weihnachtsbaum noch Äpfel trug",NULL,2017
"Als die Drogenbrutalität ins Wanken geriet ... und drei weitere Erzählungen ...",NULL,2016
"Als die Götter Mensch waren",NULL,2013
"Als die Kelten und Römer Geschichten erkochten",NULL,2019
"Als die Mönche die Heimat verließen",NULL,2023
"Als die Russen nach Hirschberg kamen und andere Geschichten",NULL,2008
"Als die Stadt brannte",NULL,2023
"Als die Tomaten noch nach Tomaten schmeckten","1. Auflage",2018
"Als die Vögel nicht mehr sangen",NULL,2022
"Als ein Doppelmörder vom Schalom überrascht wird",NULL,2012
"Als es begann - Kurzgeschichten","1. Auflage",2021
"Als es Nacht wurde, trieben wir heim",NULL,2009
"Als Geschenk einpacken, bitteschön","1. Aufl.",2010
"Als Großmama ein Mädche war",NULL,2023
"Als ich deutsch wurde",NULL,2019
"Als ich einst Prinz war von Arkadien",NULL,2010
"Als ich heute Morgen aufwachte, war alles weg, was ich mal hatte","Neuausgabe",2015
"Als ich König war und Maurer",NULL,2016
"Als Issi Braun ermordet wurde und andere moderne Märchen",NULL,2011
"Als Karl seine Stimme verlor","1. Auflage",2019
"Als Kind im Revier","1. Aufl.",2010
"Als Konrad Duden die Rechtschreibung erfand",NULL,2012
"Als Malchus sein Ohr verlor und andere Geschichten, die (so) nicht in der Bibel stehen",NULL,2013
"Als mich meine Einsamkeit wachküsste","1. Auflage",2023
"Als ob die Vögel zwitschern","1. Auflage",2021
"Als ob die Welt den Atem anhielt",NULL,2008
"Als Oma noch Kräuter sammelte",NULL,2019
"Als Oma noch Lametta bügelte",NULL,2018
"Als Oma noch mit Kohlen heizte",NULL,2013
"Also sprach der Maharadja ...","1. Aufl.",2009
"Als Pferd und Fohlen zu Weihnachten im Stall ankommen",NULL,2012
"Als sich der Stamm des Tisches bog",NULL,2014
"»Als stände Christus neben mir«",NULL,2014
"Als Teltow neu erfunden wurde",NULL,2010
"Als Vaters Bart noch rot war",NULL,2008
"Als Vater sich den Bart abnahm",NULL,2008
"Als wär´s ein Stück Papier","1. Aufl.",2011
"Als wir die Maikäfer waren","Erste Auflage",2023
"Als wir es wagten",NULL,2009
"Als wir klein und fröhlich waren",NULL,2023
"Als wir noch Brautleute waren",NULL,2023
"Als wir Wildschweine waren",NULL,2012
"Alt","Erstausgabe",2019
"Alte",NULL,2012
"Alte Bekannte","1. Aufl.",2011
"Alte Düsseldorfer Geschichten","1., Aufl.",2011
"Alte Erzählungen in neuen Farben","Erste Auflage",2019
"Alte Geschichten","1. Auflage",2018
"Alte Männer füttern keine Enten","1. Aufl.",2012
"Alte Märchen - und doch neu","1. Aufl.",2013
"Altenheim? Bitte nicht!",NULL,2010
"Altersbedingt","1. Auflage",2016
"Alter schützt vor Torheit nicht","1. Aufl.",2014
"Alter Schwede! 2020",NULL,2019
"Älter werden","1. Aufl.",2009
"Älter werden is koa [durchgestrichen] a Gaudi","1. Auflage",2023
"Älter werden - jung bleiben",NULL,2014
"Alte Schachteln","Taschenbucherstausg.",2009
"Altes Pferd liebt junges Gras und andere Geschichten ",NULL,2014
"Alte und neue Heimat","1. Auflage",2020
"Alte Wege",NULL,2013
"Altfranzösische Erzählungen von keltischen Feen",NULL,2016
"Althochdeutsche Literatur",NULL,2017
"Alt-Münchener Erzählungen",NULL,2015
"Altwerden ist nichts für Schlappschwänze",NULL,2010
"Altwiener Küchengeschichten",NULL,2019
"Altwiener Liebesgeschichten",NULL,2018
"Altwiener Tiergeschichten",NULL,2017
"Alwines Reise",NULL,2008
"Alyeska","Erste Auflage",2019
"Am Abend kamen die Schnecken",NULL,2022
"Am Abgrund ist die Aussicht schöner",NULL,2011
"Am Abhang der Wind",NULL,2019
"Amanda lass die Hand da","1. Aufl.",2009
"Am Anfang war die Kuh",NULL,2011
"Am Äquator",NULL,2014
"Amateure",NULL,2009
"Amative; Publisher präsentiert Aimeé Nikél, Erotische Geschichten","1. Aufl.",2011
"Amazing Crime Stories","1. Auflage",2019
"Ambigue Begegnungen","1. Auflage",2019
"Am Boden der Kaffeetasse",NULL,2022
"Am Brunnenrand","Erste Auflage",2016
"Am Deutschen Wesen soll die Welt genesen",NULL,2009
"Ameisenbär, Pinguin & Co.",NULL,2009
"Am Ende bleibt Hoffnung",NULL,2021
"Am Ende der Straße - das Meer","1. Auflage",2023
"Am Ende der Tage und andere Geschichten aus Spanien",NULL,2013
"Am Ende einer langen Sehnsucht",NULL,2013
"Am Ende ist Weitfortistan",NULL,2010
"Amerikanische Gefühle","1. Aufl.",2011
"Amerikkan Gotik","Dt. Erstausg.",2015
"Am Fleischerhaken",NULL,2019
"Am frühen Morgen","1. Auflage",2019
"Am Fuß des Kamels","Ungekürzte Taschenbuchausg.",2010
"Am gelben Hang","1. Auflage",2016
"Am Hancockberg",NULL,2020
"Am Heiligen Abend",NULL,2019
"Am Himmel kaum Gefälle","Erste Auflage",2019
"Am Himmelstor: Kein Zutritt für Scheinheilige","1. Auflage",2022
"Am Lande tut sich was",NULL,2008
"Am Landgraben",NULL,2019
"Am Markt gibts Eis aus Erdbeer, Vanille und Bürgermeister!","Orig.-Ausg. zum 850jährigen Stadtjubiläum",2010
"Am Meer","1. Auflage",2018
"Ammerlandpomeranzen Geschichten/Dorftrottel und Katzenjammer","1. Auflage",2016
"Amor animalium",NULL,2019
"Amor, das Leben und ich","Erste Auflage",2016
"A MOUNTAIN WALKED – Ganz unten und ganz oben, Band 1","1. Auflage",2023
"A MOUNTAIN WALKED – Ganz unten und ganz oben, Band 2: Neue Erzählungen aus dem Cthulhu-Mythos","1. Auflage",2023
"A MOUNTAIN WALKED – Ganz unten und ganz oben, Band 3","1. Auflage",2023
"Am Rand der Erinnerungen","1. Aufl.",2011
"Am Rand des virtuellen Universum",NULL,2023
"Am Rande des alltäglichen Wahnsinns",NULL,2008
"Am Reißbrett","1. Auflage",2019
