literaturwettbewerb_ausgabe_id;literaturwettbewerb_ausgabe_titel;vonliteraturwettbewerb;literaturwettbewerb_id;jahr;gewinner;gewinnertexte;jury;themenvorgabe;preise;quelle_website
LWA11;42. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;L13;2018;"Maljartschuk, Tanja; Bjerg, Bov; Dündar, Özlem Özgül; Stern, Anna; Edelbauer, Raphaela";"Frösche im Meer; SERPENTINEN; und ich brenne; Warten auf Ava; Das Loch";"Winkels, Hubert; Gmünder, Stefan; Gomringer, Nora; Kastberger, Klaus; Keller, Hildegard Elisabeth; Wiederstein, Michael; Wilke, Insa";NULL;"Ingeborg-Bachmann-Preis; Deutschlandfunkpreis; KELAG-Preis; 3sat-Preis; BKS Bank-Publikumspreis";https://bachmannpreis.orf.at/v3/stories/2923361/
LWA12;43. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;L13;2019;"Birnbacher, Birgit; Fischer, Leander; Jost, Julia; Federer, Yannic Han Biao; Othmann, Ronya";"Der Schrank; Nymphenverzeichnis Muster Nummer eins Goldkopf; Unweit vom Schakaltal; Kenn ich nicht; Vierundsiebzig";"Winkels, Hubert; Gmünder, Stefan; Gomringer, Nora; Kastberger, Klaus; Keller, Hildegard Elisabeth; Wiederstein, Michael; Wilke, Insa";NULL;"Ingeborg-Bachmann-Preis; Deutschlandfunkpreis; KELAG-Preis; 3sat-Preis; BKS Bank-Publikumspreis";https://bachmannpreis.orf.at/v3/stories/2991948/
LWA13;44. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;L13;2020;"Schubert, Helga; Krusche, Lisa; Leitner, Egon Christian; Freudenthaler, Laura; Haider, Lydia";"Vom Aufstehen; Für bestimmte Welten kämpfen und gegen andere; Immer im Krieg; Der heißeste Sommer; Der große Gruß";"Winkels, Hubert; Gomringer, Nora; Kastberger, Klaus; Schwens-Harrant, Brigitte; Tingler, Philipp; Wiederstein, Michael";NULL;"Ingeborg-Bachmann-Preis; Deutschlandfunkpreis; KELAG-Preis; 3sat-Preis; BKS Bank-Publikumspreis";https://bachmannpreis.orf.at/stories/3054216/
LWA14;45. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;L13;2021;"Ebrahimi, Nava; Vowinckel, Dana; Öziri, Necati; Kaleyta, Timon Karl; Öziri, Necati";"Der Cousin; Gewässer im Ziplock; Morgen wache ich auf und dann beginnt das Leben; Mein Freund am See; Morgen wache ich auf und dann beginnt das Leben";"Wilke, Insa; Delius, Mara; Kaiser, Vea; Kastberger, Klaus; Schwens-Harrant, Brigitte; Tingler, Philipp; Wiederstein, Michael";NULL;"Ingeborg-Bachmann-Preis; Deutschlandfunkpreis; KELAG-Preis; 3sat-Preis; BKS Bank-Publikumspreis";https://bachmannpreis.orf.at/stories/3108821/
LWA15;46. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;L13;2022;"Marwan, Ana; Bulucz, Alexandru; Guse, Juan S.; Engler, Leon; Hirschl, Elias";"Wechselkröte; Einige Landesgrenzen weiter östlich, von hier aus gesehen; Im Falle des Druckabfalls; Liste der Dinge, die nicht so sind, wie sie sein sollten; Staublunge";"Wilke, Insa; Delius, Mara; Kaiser, Vea; Kastberger, Klaus; Schwens-Harrant, Brigitte; Tingler, Philipp; Wiederstein, Michael";NULL;"Ingeborg-Bachmann-Preis; Deutschlandfunkpreis; KELAG-Preis; 3sat-Preis; BKS Bank-Publikumspreis";https://bachmannpreis.orf.at/stories/3184069/
LWA16;47. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;L13;2023;"Gordeev, Valerie; Felnhofer, Anna; Piekar, Martin; Leupi, Laura; Piekar, Martin";"Er putzt; Fische fangen; Mit Wänden sprechen/Pole sind schwierige Volk; Das Alphabet der sexualisierten Gewalt; Mit Wänden sprechen/Pole sind schwierige Volk";"Wilke, Insa; Delius, Mara; Kastberger, Klaus; Sanyal, Mithu; Schwens-Harrant, Brigitte; Strässle, Thomas; Tingler, Philipp";NULL;"Ingeborg-Bachmann-Preis; Deutschlandfunkpreis; KELAG-Preis; 3sat-Preis; BKS Bank-Publikumspreis ";https://bachmannpreis.orf.at/stories/3216933/
LWA17;11. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;L5;2008;"Hoppe, Nikolas; Egger, René; Brockmann, Doris; Weber, Robert";"Linkes oder rechtes Meer; Das Drehkreuz; Ina; Vom Vergessen der Welt - Fragmente einer polnischen Reise";;Unterwegs;;Otger Holleschek
LWA18;12. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;L5;2009;"Waldscheidt, Stephan; Straub, Isabella; Pass, Julia; Goetsch, Monika";"Mademoiselle Saphir erwacht; Knospentheater; Kaninchenblues; Um drei am See";;Frühling;;Otger Holleschek
LWA19;13. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;L5;2009;"Kempker, Kerstin; Makarewicz, Nicole; Kurz, Andreas; Beindorf, Heinrich";"Und abends auf dem Entenstrich; Heißhunger; Zu wenig zuviel; Gute Hähne";;Hunger;;Otger Holleschek
LWA20;14. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;L5;2010;"Krause, Roland; Kurz, Andreas; Ani, Friedrich; Duck, Werner";"Juttas Brust; Grünwald; Licht in der Frauenstraße; Wir mögen uns, aber nicht zu oft";;München;;Otger Holleschek
LWA21;15. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;L5;2010;"Norder, Renate C.; Raml, Sabine; Huber, Adina; Leicht, Christina";"Monika zwischen 23 und 24 Uhr; Alphatiere; Geschichten von der Straße; Kirschprinzenssin";;Straße;;Otger Holleschek
LWA22;16. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;L5;2011;"Leicht, Christina; Köhler, Kareen; Pleschko, Romina; Rattay, Helga";"Living Landscape; Wir haben Raketen geangelt; Die Korrektur; Selbstversuch";;Endstation Sehnsucht;;https://www.zuendeln.de/?p=82
LWA23;17. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;L5;2012;"Svoboda, Ingrid; Hillebrand, Doris; Siegfried, Anita; Müller, Anne";"Kaspressknödel; Janis Joplin und ich; Drei Minuten; Libellen paar sich im Flug";"Schürhoff, Marc; Arsenschek, Robert; Bleuler, Anna-Kathrin; Buchholz, Natalie; Eisele, Julia";Frei sein;;https://www.zuendeln.de/?p=9
LWA24;18. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;L5;2013;"Janaczek, Rita Maria; Kutil, Katharina; Kellermann, Cathy; Kenneweg, Barbara";"Tage und Wochen; Vier Sekunden; Ao Por do Sol; Eine Minute 53 Sekunden";;1001 Nacht;;https://www.zuendeln.de/?p=3542
LWA25;19. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;L5;2014;"Zwach, Sabrina; Inken Soppa, Chris; Schliedermann, Frank; Effenhauser, Ulrich";"Krieg; Wände hören; Breuer, Zielke und die Anderen; Der Auftrag";;Ausweitung der Kampfzone;;https://www.zuendeln.de/?p=5009
LWA26;20. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;L5;2015;"Bewernitz, Doris; Raich, Tanja; Heberling, Carolina; Fritz, Sophia";"Die Reise ins Hoki-Poki-Land; Judith; Am Rand; Halim liegt wach";;Grenzgänger;;https://www.zuendeln.de/?p=6119
LWA27;21. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;L5;2016;"Eggenweber, Stefan-Manuel; Leifeld, Denis; Fleischer, Ludwig; Lasker-Berlin, Amanda";"Die Eingeweide meines Sohnes; Wassergeburt, falschrum; Die Tonpuppe; Das Lied der törichten Kinder";"Bleuler, Anna-Kathrin; Hauf, Heike; Lange, Kathrin; Čukoski, Anvar";kaputt;;https://www.zuendeln.de/?p=6682
LWA28;22. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;L5;2017;"Will, Andrea; Kornberger, Ruth; Molchen, Ariana";"Aschehäufchen; Wenn du schreist; Wärme deinen Nächsten";;Frontbericht;;https://www.zuendeln.de/?p=7021
LWA29;23. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;L5;2018;"Hauser, Franziska; Eyb-Green, Sigrid; Biedermann, Joachim; Stadler, Anna";"Kim unterm Sofa; Atelier mit fleckigem Sofa; Ezio; Als mein imaginäres Kind der Bananenspinne begegnete";;Nichts ist wahr, alles ist erlaubt;;https://www.zuendeln.de/?p=7266
LWA30;25. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;L5;2019;"Habermann, Christin; Schraknepper, Valeska; Heller, Dorina; Hackl, Anna";"#AlsdasPfandverschwand; Leni sieht das Meer; #Satellitenfehler; Kleinstadtnostalgie";;In einem Monat, in einem Jahr;;https://www.zuendeln.de/?p=7415
LWA31;26. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;L5;2020;"Schröder, Yelena; Ahrends, Martin; Hackl, Anna";"Drei Uhr Fünfzehn; Fliegende Straßenbahn; Im Rücken das Ende";;grenzwertig;;"https://www.zuendeln.de/?p=7645; https://www.zuendeln.de/?p=7642; https://www.zuendeln.de/?p=7640"
LWA32;27. Deutscher Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;L5;2021;"Behrens, Andreas; Schliedermann, Frank; Stalewski, Leszek; Dick, Marion";"Schnee von gestern; Test, Test…Cinderella has left the building; Strahlen; Woche zwei";"Bleuler, Anna-Kathrin; Reich, Marie; Prechtel, Adrian; ";Schrei endlich! ;;https://www.zuendeln.de/?p=7984
LWA33;Deutscher Kurzgeschichtenwettbewerb 2022;Münchner/Deutscher Kurzgeschichtenwettbewerb;L5;2022;"Weise, Cäcilia; Siche, Thorsten N.; Schwarze, Heike; Niederberger, Lisa-Viktoria";"Warmes Fleisch; Bei Kerbers nebenan; 3.000 Meter; Und Zoreh schreit";"May, Alexander; Schley, Fridolin; Bleuler, Kathrin; Jaksch, Stefanie";Was für!;;https://www.zuendeln.de/?cat=4&paged=3
LWA34;28. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;L5;2023;"Hanka, Inga; Petersen, Karin; Ehrlich, Nancy; Ferrari, Elias";"Was ein schöner Tag; In der Ringbahn; Kranich; Vor dem Ende";;Deine Geschichte;;https://www.zuendeln.de/?p=8195
LWA35;11. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;L27;2008;"Kreller, Susan; Scholz, Peter; Hinsberger, Gisela";"Es wird immer wieder still; Small Story; C'est la vie";;NULL;;https://www.moersergesellschaft.de/preistraegerinnen/
LWA36;12. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;L27;2009;"Rehlinghaus, Chr.; Brall, Dirk; Schmidt, Iris";"Nach den Sternen greifen; Transit; Lady Warrior";;NULL;;https://www.moersergesellschaft.de/preistraegerinnen/
LWA37;13. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;L27;2010;"Reichert, Andrea; Lange, Rolf; Steffen, Pia";"Der Faber; Ich war einmal; Spurlos verschwunden";;NULL;;https://www.moersergesellschaft.de/preistraegerinnen/
LWA38;14. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;L27;2011;"Karner, Frank; Pacholski, Ronald; Schöne, Anja";"Aufstieg; Lockentanz; Septembermädchen";;Dabei sein;;https://www.moersergesellschaft.de/preistraegerinnen/
LWA39;15. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;L27;2012;"Leicht, Christina; Spiecker, Felicitas; Brune, Christian";"Ist es kalt?; Der Morgen danach; Liebe auf Zeit";;Der Morgen danach;;https://www.moersergesellschaft.de/preistraegerinnen/
LWA40;16. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;L27;2013;"Bös, Nike; Steffen, Pia; Bünnig, Jenny";"Spielzeug aus Amerika; Einmal nicht aufgepasst; Acht Worte, drei Sätze, ein Gefühl …";;Einmal nicht aufgepasst;;https://www.moersergesellschaft.de/preistraegerinnen/
LWA41;17. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;L27;2014;"Polmans, Sebastian; Steuten, Barbara; Feldmann, Annette";"Janusz; Flugbahn; Der Querschläger";;suchen und finden;;https://www.moersergesellschaft.de/preistraegerinnen/
LWA42;18. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;L27;2015;"Schmitz, Claudia; Schmidt, Thorsten; Stolle, Anne";"Schneewehen; Kopfüber, Hannah; Von unten betrachtet";;Verspielt;;https://www.moersergesellschaft.de/preistraegerinnen/
LWA43;19. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;L27;2016;"Ketelaer, Benedikt; Utermann, Thorben; Frambach, Sabine";"Lagerkoller; Der Weg zum Meer; Sand am Meer";;Am Meer;;https://www.moersergesellschaft.de/preistraegerinnen/
LWA44;20. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;L27;2017;"Helfferich, Pia; Göbel, Lisa-Maria; Patten, André";"Wie man tausend Kraniche faltet; Stiche; Heimatfreunde";;Unter Freunden ;;https://www.moersergesellschaft.de/preistraegerinnen/
LWA45;21. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;L27;2018;"Krakau, Felix; Münch, Maja; Ostrau, Julia";"Centre Court; Namenlos; Like, Neid, Neid";;Im Netz;;https://www.moersergesellschaft.de/preistraegerinnen/
LWA46;22. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;L27;2019;"Frambach, Sabine; Stolle, Anne; Habermann, Christian";"Die Kopistin; Wenn die Maden kommen; Vollidiot";;Falsche Freunde;;https://www.moersergesellschaft.de/preistraegerinnen/
LWA47;23. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;L27;2020;"v. Fest, Miriam; Herx, Ada; Farken, Celina";"Die Prinzessin von Sansibar; Der Ausstieg; Wie die Sterne";;Im Rï¿½ckblick;;https://www.moersergesellschaft.de/preistraegerinnen/
LWA48;24. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;L27;2021;"Janßen, Patricia; Wolff, Saskia; Holtz, Julia";"Das Erbe; Dahinter wird Stille; Ich bin noch da";;Sprachlos;;https://www.moersergesellschaft.de/preistraegerinnen/
LWA49;25. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;L27;2022;"Schlegel, Tina; Hensen, Ann-Kristin; Kogler, Iris";"Rote Spuren; Regen im Weltall; Siebzehn Tage";;Versprochen;;https://www.moersergesellschaft.de/preistraegerinnen/
LWA50;26. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;L27;2023;"Hanka, Inga; Ritgens, Helena; Kluwe, Katrin";"Wiedersehen; Wolkenschwer; Es ist nur ein Wort";;Wider Willen;;https://www.moersergesellschaft.de/preistraegerinnen/
LWA51;16. open mike;Open Mike ;L30;2008;"Petner, Sonia; Kutschke, Svealena; Wack, Johanna";"Zitronen; Rückspiegel; Punkte";"Glavinic, Thomas; Rinck, Monika; Zaimoglu, Feridun";NULL;"Erster Preis; Zweiter Preis; Preis der taz-Publikumsjury";https://www.haus-fuer-poesie.org/de/open-mike/archiv/archiv-2008/die-jury/
LWA52;17. open mike;Open Mike ;L30;2009;"Mahlke, Inger-Maria; Senkel, Matthias";"3. Kapitel: Potulski I (Auszug); Peng. Peng. Peng. Peng.";"Krechel, Ursula; Röggla, Kathrin; Sparschuh, Jens";NULL;"Erster Preis; Zweiter Preis & Preis der taz-Publikumsjury";https://www.haus-fuer-poesie.org/de/open-mike/archiv/archiv-2010-2/die-gewinner
LWA53;18. open mike;Open Mike ;L30;2010;"Snela, Jan; Marklein, Janko; Polmans, Sebastian";"Milchgesicht; Wir stellen uns nicht dumm; Über Peanuts, mich und andere Sachen";"Ortheil, Hanns-Josef; Trojanow, Ilija; Utler, Anja";NULL;"Erster Preis; Zweiter Preis; Preis der taz-Publikumsjury";https://www.haus-fuer-poesie.org/de/open-mike/archiv/archiv-2010/die-gewinner
LWA54;19. open mike;Open Mike ;L30;2011;"Böhm, Christina; Ernst, Joseph Felix";"Platzanweisung; Dora Diamant";"Hoppe, Felicitas; Rammstedt, Tilman; Schmidt, Kathrin";NULL;"Erster Preis & Preis der taz-Publikumsjury; Zweiter Preis ";https://www.haus-fuer-poesie.org/de/open-mike/archiv/archiv-20/die-gewinner
LWA55;20. open mike;Open Mike ;L30;2012;"Gugić, Sandra; Guse, Juan S.; Juschka, Joey";"Junge Frau, undatiert; Pelusa; SCHAF e.V.";"Beyer, Marcel; Scheuermann, Silke; von Steinaecker, Thomas";NULL;"Erster Preis; Zweiter Preis; Preis der taz-Publikumsjury";https://www.haus-fuer-poesie.org/de/open-mike/archiv/archiv-2012/die-fianalisten-und-gewinner-2012/die-gewinner-2012/
LWA56;21. open mike;Open Mike ;L30;2013;"Gawrisch, Dmitrij; Eisel, Jens";"Schaukelgestühl ganse en bräune; Glück";"Erpenbeck, Jenny; Urweider, Raphael; Peltzer, Ulrich";NULL;"Erster Preis; Zweiter Preis";https://www.haus-fuer-poesie.org/de/open-mike/archiv/archiv-2012-2/t/die-gewinner-des-21-open-mike/
LWA57;22. open mike;Open Mike ;L30;2014;"Anselm, Doris; Schneider, Mareike; Bekas, Gerasimos";"Die Krieger des Königs Ying Zheng; Die Holzmieterin; Feierabend";"Kuhligk, Björn; Maier, Andreas; Poschmann, Marion";NULL;"Erster Preis; Zweiter Preis; Preis der taz-Publikumsjury";https://www.haus-fuer-poesie.org/de/open-mike/archiv/open-mike-archiv-2014/teilnehmer-2014/die-preistraeger-des-22-open-mike/
LWA58;23. open mike;Open Mike ;L30;2015;"Lind, Jessica; Töglhofer, Theresia; Krömer, Philip";"Mama; Das pure Leben; der eine der andere";"Brandt, Jan; Merz, Klaus; Mora, Terézia";NULL;"Erster Preis; Zweiter Preis; Preis der taz-Publikumsjury";"https://www.haus-fuer-poesie.org/de/open-mike/archiv/archiv-2015/die-preistraeger-2015/; https://www.openmikederblog.de/2015/11/08/die-preistraeger-des-open-mike-2015/"
LWA59;24. open mike;Open Mike ;L30;2016;"Dierkes, Thilo; Quaderer, Benjamin; Nuss, Rudi";"Von Ajaccio her; Für immer die Alpen; kurze Szenerie mit Loch";"Mahlke, Inger-Maria; Seiler, Lutz; Stanišić, Saša";NULL;"Erster Preis; Zweiter Preis; Preis der taz-Publikumsjury";https://www.haus-fuer-poesie.org/de/open-mike/archiv/open-mike-2016/die-preistraeger-2016
LWA60;25. open mike;Open Mike ;L30;2017;"Tharayil, Ralph; Hoffmann, Mariusz; Lussi, Baba";"Das Liebchen; Dorfköter; So kommt's";"Bleutge, Nico; Grjasnowa, Olga; Schulze, Ingo";NULL;"Erster Preis; Zweiter Preis; Preis der taz-Publikumsjury";https://www.haus-fuer-poesie.org/de/open-mike/archiv/archiv-2017/die-preistraegerinnen/
LWA61;26. open mike;Open Mike ;L30;2018;Önder, Yade Yasemin;bulimieminiaturen;"Fricke, Lucy; Lange-Müller, Katja; Popp, Steffen";NULL;Erster Preis;"https://www.haus-fuer-poesie.org/de/open-mike/archiv/archiv-2018/die-jury; https://www.haus-fuer-poesie.org/de/open-mike/news/yade-yasemin-oender-kyrill-constantinides-tank-lara-rueter-und-caren-jess-gewinnen-den-26-open-mike"
LWA62;27. open mike;Open Mike ;L30;2019;"Sironic, Fiona; Ahlers, Sina";"Das ist der Sommer, in dem das Haus einstürzt; Originale";"Meinecke, Thomas; Meyer, Clemens; Wolf, Uljana";NULL;"Erster Preis; Zweiter Preis & Preis der taz-Publikumsjury";https://www.haus-fuer-poesie.org/de/open-mike/archiv/archiv-2019/die-preistraegerinnen/
LWA63;28. open mike;Open Mike ;L30;2020;"Gisler, Rebecca; Soppa, Josefine";"Hippobosca; MIRMAR";"Bodrožić, Marica; Güntner, Verena; Waterhouse, Peter";NULL;"Erster Preis; Zweiter Preis";https://www.haus-fuer-poesie.org/de/open-mike/archiv/archiv-2020/die-preistraegerinnen/
LWA64;29. open mike;Open Mike ;L30;2021;"Dütsch, Eva-Maria; Vieregg, Kathrin; Anton, Laura";"Urin und Blütenhonig; Cui bono; Holzhausen (Auszug)";"Martynova, Olga; Utler, Anja; Wagner, David";NULL;"Erster Preis; Zweiter Preis; Preis der taz-Publikumsjury";https://www.haus-fuer-poesie.org/de/open-mike/archiv/29/die-preistraegerinnen
